dataId,data,time,src
5,"[0.898736313917681, 0.8983349455941769, 0.10094465960678774, 0.10798659012284886, 0.09938015171750704, 0.10034982959859068, 0.10175174498772367, 0.9009519223145197, 0.902487804567713, 0.9004341591886807, 0.10170269168099862, 0.9034905406905365, 0.8995603291499211, 0.894586471798633, 0.09754051107220574, 0.09426769880780422, 0.10329661498279007, 0.10092975992852757, 0.10075399440029167, 0.09812799157314753, 0.1006401639138593, 0.10205215819726084, 0.8962261977602569, 0.10282499175598446, 0.10071664991358102, 0.09923816300770567, 0.8994903442723323, 0.0990163596977063, 0.10023735924900105, 0.1013784506756888, 0.10095105416444157, 0.10392375730387256, 0.10457803961890527, 0.90225750408365, 0.10213945403637703, 0.9015433086643105, 0.10035221585942747, 0.09485058939082897, 0.896500900890006, 0.10317771156516674, 0.8991838030426762, 0.095526325520293, 0.8972265666340483, 0.09783767362811291, 0.10335820928327513, 0.10116054403854496, 0.09773246630091745, 0.10230345689176971, 0.09763033022821568, 0.09552436630096853]",222,4
7,[1.0],222,3
128,[120.00304620175983],222,3
3,"[0.11302458994466483, 0.7792362256247723, 0.11120661948882624, 0.005618217048410718]",222,3
4,"[0.09883718434313092, 0.895624395005961, 0.10081734307516355, 0.10014741166287845, 0.1028953806172998, 0.0988565014025303, 0.09936559529968879, 0.09946087372256526, 0.8996794928151989, 0.10372900234426645, 0.9018437631933925, 0.10069523849856427, 0.899060804398561, 0.09940716815315424, 0.8993713770407755, 0.10149666780779398, 0.0986204695224162, 0.09979133317159398, 0.10120286608098895, 0.901124253896232, 0.9018314613608455, 0.9031575795545806, 0.09904732796771577, 0.10087472918031398, 0.09777919908965355, 0.10061987059812387, 0.09475735527063348, 0.10451661646110112, 0.1006972004288545, 0.0990193792024236, 0.9030170106734868, 0.09930547582221427, 0.10243525584861513, 0.8988545738087725, 0.9004771873319477, 0.09995748925678159, 0.09777620935487183, 0.10232173116671356, 0.10573217720414316, 0.8990075598893733, 0.9020113243780294, 0.09866108651027691, 0.10051503689417297, 0.09817496594073503, 0.9027834933592734, 0.10045816041131647, 0.09915450284422286, 0.10378216985361487, 0.9047118343069865, 0.09853735890209366]",223,4
5,"[0.8988371843431274, 0.895624395005961, 0.10081734307516355, 0.10014741166287845, 0.1028953806172998, 0.0988565014025303, 0.09936559529968879, 0.8994608737225593, 0.8996794928151989, 0.9037290023442668, 0.10184376319339108, 0.9006952384985643, 0.899060804398561, 0.8994071681531486, 0.09937137704077842, 0.10149666780779398, 0.0986204695224162, 0.09979133317159398, 0.10120286608098895, 0.10112425389623525, 0.10183146136084932, 0.10315757955458578, 0.8990473279677101, 0.10087472918031398, 0.09777919908965355, 0.10061987059812387, 0.8947573552706304, 0.10451661646110112, 0.1006972004288545, 0.0990193792024236, 0.10301701067348533, 0.09930547582221427, 0.10243525584861513, 0.8988545738087725, 0.10047718733194706, 0.8999574892567775, 0.09777620935487183, 0.10232173116671356, 0.9057321772041391, 0.09900755988937338, 0.9020113243780294, 0.09866108651027691, 0.9005150368941672, 0.09817496594073503, 0.10278349335927285, 0.10045816041131647, 0.09915450284422286, 0.10378216985361487, 0.10471183430699187, 0.09853735890209366]",223,4
7,[1.0],223,3
128,[120.00305909170397],223,3
3,"[0.10868937157936845, 0.7806912090480221, 0.11183779286273676, 0.0055527440554957366]",223,3
129,[0.0036],223,2
6,[0.8990078655969701],223,2
3,"[0.110345542682141, 0.7769498798035448, 0.110902793411856, 0.007548479249490335]",224,3
7,[1.0],224,3
6,[0.8991420091246437],224,2
